head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,fodeiþ,ins,τρέφει,αὐτά,verb,personal pronoun,verb,personal pronoun,subordinata completiva coordinata,subordinata completiva coordinata,old,0,0.0,indicative,indicative,subordinata completiva coordinata finita,subordinata completiva coordinata finita
True,True,anaaukan,aleina,προσθεῖναι,πῆχυν,verb,common noun,verb,common noun,open predication,open predication,non_spec,1,1.0,infinitive,infinitive,open predication non finita,open predication non finita
True,,gakunnaiþ,blomans,μεριμνᾶτε,κρίνα,verb,common noun,verb,common noun,principale,principale,kind,1,2.0,imperative,imperative,principale finita,principale finita
False,False,wasjiþ,hawi,ἀμφιέννυσιν,χόρτον,verb,common noun,verb,common noun,,,kind,3,3.0,indicative,indicative,,
False,False,matjam,ƕa,φάγωμεν,τί,verb,interrogative pronoun,verb,interrogative pronoun,principale coordinata,parpred,non_spec,0,0.0,imperative,subjunctive,principale coordinata finita,parpred finita
False,False,drigkam,ƕa,πίωμεν,τί,verb,interrogative pronoun,verb,interrogative pronoun,principale coordinata,parpred,non_spec,0,0.0,imperative,subjunctive,principale coordinata finita,parpred finita
False,False,sokjand,þata,ἐπιζητοῦσιν,ταῦτα,verb,demonstrative pronoun,verb,demonstrative pronoun,principale,principale,quant,1,1.0,indicative,indicative,principale finita,principale finita
True,True,bigitandans,þana,εὑρίσκοντες,αὐτήν,verb,demonstrative pronoun,verb,personal pronoun,relativa soggettiva,relativa soggettiva,old,0,0.0,participle,participle,relativa soggettiva non finita,relativa soggettiva non finita
True,True,ufkunnaiþ,ins,ἐπιγνώσεσθε,αὐτούς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,0,0.0,indicative,indicative,principale finita,principale finita
True,True,lisand,weinabasja,συλλέγουσιν,σταφυλὰς,verb,common noun,verb,common noun,principale coordinata,principale coordinata,kind,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
