head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
False,,towr,hramán,ἐπίτρεψόν,,verb,common noun,verb,,principale,principale,info_unannotatable,1,,imperative,imperative,principale finita,principale finita
True,True,tʻałel,hayr,ἀπελθόντι,πατέρα,verb,common noun,verb,common noun,open predication,open predication,new,2,2.0,infinitive,participle,open predication non finita,open predication non finita
True,True,patmea,arkʻayowtʻiwn,διάγγελλε,βασιλείαν,verb,common noun,verb,common noun,principale,principale,acc_gen,2,2.0,imperative,imperative,principale finita,principale finita
False,,towr,hraman,,ἐπίτρεψόν,verb,common noun,,verb,principale,,info_unannotatable,1,4.0,imperative,,principale finita,
True,True,arkanē,jer̄n,ἐπιβαλὼν,χεῖρα,verb,common noun,verb,common noun,principale coordinata,relativa coordinata,non_spec_inf,0,2.0,indicative,participle,principale coordinata finita,relativa coordinata non finita
True,True,ar̄akʻeacʻ,nosa,ἀπέστειλεν,αὐτοὺς,verb,demonstrative pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,1,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,ałačʻecʻēkʻ,Tēr,δεήθητε,κυρίου,verb,common noun,verb,common noun,principale,principale,new,2,2.0,imperative,imperative,principale finita,principale finita
True,False,hancʻḗ,mšaks,ἐκβάλῃ,ἐργάτας,verb,common noun,verb,common noun,subordinata completiva,subordinata completiva,non_spec,0,0.0,subjunctive,subjunctive,subordinata completiva finita,subordinata completiva finita
True,True,ar̄akʻém,jez,ἀποστέλλω,ὑμᾶς,verb,personal pronoun,verb,personal pronoun,principale,principale,old,1,0.0,indicative,indicative,principale finita,principale finita
False,,taycʻēkʻ,ołǰoyn,ἀσπάσησθε,,verb,common noun,verb,,principale,principale,non_spec,0,,subjunctive,subjunctive,principale finita,principale finita
True,,əndownicʻin,jez,,,verb,personal pronoun,,,subordinata avverbiale,,old,1,,subjunctive,,subordinata avverbiale finita,
True,,owtiǰíkʻ,zinčʻ,,,verb,interrogative pronoun,,,principale coordinata,,non_spec,1,,subjunctive,,principale coordinata finita,
