head_initial,head_initial_greek,word_form_head,word_form_dependent,word_form_head_greek,word_form_dependent_greek,pos_head,pos_dependent,pos_head_greek,pos_dependent_greek,rel_head,rel_head_greek,givenness_status,number_dependents,number_dependents_greek,mood_verb,mood_verb_greek,clause_type,clause_type_greek
True,True,молѧ,и,παρακαλῶν,αὐτὸν,verb,personal pronoun,verb,personal pronoun,open predication in coordinazione,open predication in coordinazione,old,0,0.0,participle,participle,open predication in coordinazione non finita,open predication in coordinazione non finita
False,False,иштистити,мѧ,καθαρίσαι,με,verb,personal pronoun,verb,personal pronoun,open predication,open predication,old,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,простеръ,рѫкѫ,ἐκτείνας,χεῖρα,verb,common noun,verb,common noun,open predication,open predication,new,0,1.0,participle,participle,open predication non finita,open predication non finita
True,,коснѫ,и,ἥψατο,,verb,personal pronoun,verb,,principale coordinata,principale coordinata,,0,,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,изгъна,й,ἐξέβαλεν,αὐτόν,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
False,False,рьци,ничесоже,εἴπῃς,μηδὲν,verb,indefinite pronoun,verb,indefinite pronoun,principale,subordinata completiva,non_spec,0,0.0,imperative,subjunctive,principale finita,subordinata completiva finita
False,False,повелѣ,еже,προσέταξεν,ἃ,verb,relative pronoun,verb,relative pronoun,relativa oggettiva,relativa oggettiva,info_unannotatable,0,0.0,indicative,indicative,relativa oggettiva finita,relativa oggettiva finita
True,True,проносити,слово,διαφημίζειν,λόγον,verb,common noun,verb,common noun,open predication in coordinazione,open predication in coordinazione,acc_inf,0,1.0,infinitive,infinitive,open predication in coordinazione non finita,open predication in coordinazione non finita
True,True,г҃лаше,слово,ἐλάλει,λόγον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_gen,0,1.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,отъкрꙑшѧ,покровъ,ἀπεστέγασαν,στέγην,verb,common noun,verb,common noun,principale coordinata,principale coordinata,acc_inf,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,съвѣсишѧ,одръ,χαλῶσι,κράβαττον,verb,common noun,verb,common noun,principale coordinata,principale coordinata,new,1,2.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,видѣвъ,вѣрѫ,ἰδὼν,πίστιν,verb,common noun,verb,common noun,open predication,open predication,new,1,2.0,participle,participle,open predication non finita,open predication non finita
True,,глаголетъ,власфимиѩ,λαλεῖ,βλασφημεῖ,verb,common noun,verb,verb,principale,principale,acc_sit,0,0.0,indicative,indicative,principale finita,principale finita
True,True,отъпоуштати,грѣхꙑ,ἀφιέναι,ἁμαρτίας,verb,common noun,verb,common noun,open predication,open predication,non_spec,0,0.0,infinitive,infinitive,open predication non finita,open predication non finita
True,True,вьзъми,одръ,ἆρον,κράβαττόν,verb,common noun,verb,common noun,parpred,parpred,new,1,2.0,imperative,imperative,parpred finita,parpred finita
False,False,иматъ,власть,ἔχει,ἐξουσίαν,verb,common noun,verb,common noun,subordinata completiva,subordinata completiva,new,1,1.0,indicative,indicative,subordinata completiva finita,subordinata completiva finita
True,True,отъпоуштати,грѣхꙑ,ἀφιέναι,ἁμαρτίας,verb,common noun,verb,common noun,narg,narg,kind,0,0.0,infinitive,infinitive,narg non finita,narg non finita
True,True,вьзьми,одръ,ἆρον,κράβαττόν,verb,common noun,verb,common noun,principale coordinata,principale coordinata,old,1,2.0,imperative,imperative,principale coordinata finita,principale coordinata finita
True,True,вьзѧтъ,одръ,ἄρας,κράβαττον,verb,common noun,verb,common noun,principale coordinata,open predication,old,0,1.0,indicative,participle,principale coordinata finita,open predication non finita
True,True,славлѣхѫ,б҃а,δοξάζειν,θεὸν,verb,common noun,verb,common noun,subordinata avverbiale coordinata,subordinata avverbiale coordinata,old,0,1.0,indicative,infinitive,subordinata avverbiale coordinata finita,subordinata avverbiale coordinata non finita
False,False,видѣхомъ,тако,εἴδαμεν,οὕτως,verb,demonstrative pronoun,verb,adverb,principale,principale,info_unannotatable,0,0.0,indicative,indicative,principale finita,principale finita
True,True,оучааше,ѩ,ἐδίδασκεν,αὐτούς,verb,personal pronoun,verb,personal pronoun,principale coordinata,principale coordinata,old,0,0.0,indicative,indicative,principale coordinata finita,principale coordinata finita
True,True,видѣ,левьꙉиѭ,εἶδεν,Λευεὶν,verb,proper noun,verb,proper noun,principale,principale coordinata,new,1,1.0,indicative,indicative,principale finita,principale coordinata finita
True,,видѣвъше,и,ἰδόντες,,verb,personal pronoun,verb,,open predication,open predication,old,0,,participle,participle,open predication non finita,open predication non finita
True,True,призъватъ,праведьникъ,καλέσαι,δικαίους,verb,common noun,verb,adjective,open predication,open predication,non_spec,0,1.0,supine,infinitive,open predication finita,open predication non finita
True,True,имѫтъ,жениха,ἔχουσιν,νυμφίον,verb,common noun,verb,common noun,subordinata avverbiale,subordinata avverbiale,old,0,1.0,indicative,indicative,subordinata avverbiale finita,subordinata avverbiale finita
False,False,приставлѣатъ,приставлениѣ,ἐπιράπτει,ἐπίβλημα,verb,common noun,verb,common noun,principale,principale,non_spec,1,1.0,indicative,indicative,principale finita,principale finita
